timestamp,open,high,low,close,volume
2024-03-27T00:00:00+05:30,8959.0,9287.8,8926.7,9162.5,1034030
2024-03-28T00:00:00+05:30,9162.5,9243.6,8980.05,9148.15,847202
2024-04-01T00:00:00+05:30,9194.8,9211.6,9013.1,9042.15,419820
2024-04-02T00:00:00+05:30,9150.0,9357.95,9139.5,9276.1,803845
2024-04-03T00:00:00+05:30,9248.95,9248.95,9065.2,9080.45,453210
2024-04-04T00:00:00+05:30,9139.0,9181.75,8988.05,9146.15,617929
2024-04-05T00:00:00+05:30,9130.0,9130.0,9000.5,9009.5,356305
2024-04-08T00:00:00+05:30,9049.0,9090.0,8951.3,9030.5,376197
2024-04-09T00:00:00+05:30,9090.0,9132.7,8936.4,8978.9,237944
2024-04-10T00:00:00+05:30,9034.8,9049.8,8901.35,9005.55,319824
2024-04-12T00:00:00+05:30,8949.05,9119.0,8930.0,9064.85,480474
2024-04-15T00:00:00+05:30,9059.1,9177.7,8945.0,8997.05,386707
2024-04-16T00:00:00+05:30,8948.0,9029.45,8784.1,8919.15,487529
2024-04-18T00:00:00+05:30,8967.9,9129.0,8950.0,9021.3,819240
2024-04-19T00:00:00+05:30,9075.05,9090.0,8700.05,8804.5,1385007
2024-04-22T00:00:00+05:30,8884.0,8884.0,8745.0,8795.75,323734
2024-04-23T00:00:00+05:30,8845.0,8861.5,8761.0,8795.8,295346
2024-04-24T00:00:00+05:30,8819.9,8869.0,8680.0,8697.1,319824
2024-04-25T00:00:00+05:30,8697.0,8770.0,8641.4,8734.9,524667
2024-04-26T00:00:00+05:30,8747.3,8994.95,8734.55,8974.3,521344
2024-04-29T00:00:00+05:30,8974.3,8989.8,8729.0,8760.1,299443
2024-04-30T00:00:00+05:30,8799.4,8966.0,8795.0,8903.65,360403
2024-05-02T00:00:00+05:30,8944.0,9146.45,8826.1,9110.65,638239
2024-05-03T00:00:00+05:30,9170.0,9258.6,9064.35,9105.6,396042
2024-05-06T00:00:00+05:30,9120.0,9185.75,8810.55,9052.55,458431
2024-05-07T00:00:00+05:30,9055.15,9074.95,8642.55,8677.9,588285
2024-05-08T00:00:00+05:30,8651.0,8785.35,8592.8,8749.4,451581
2024-05-09T00:00:00+05:30,8800.0,9007.45,8786.35,8846.85,645689
2024-05-10T00:00:00+05:30,8950.0,9047.95,8906.5,8981.8,482797
2024-05-13T00:00:00+05:30,9022.9,9025.0,8870.5,8992.3,435605
2024-05-14T00:00:00+05:30,8952.25,9089.0,8882.75,9065.25,408162
2024-05-15T00:00:00+05:30,9069.0,9125.0,8877.35,8903.15,274392
2024-05-16T00:00:00+05:30,8950.0,8955.55,8710.0,8871.85,680474
2024-05-17T00:00:00+05:30,8891.0,8958.35,8765.5,8780.7,323961
2024-05-18T00:00:00+05:30,8815.0,8841.5,8780.0,8813.85,20092
2024-05-21T00:00:00+05:30,8775.0,8860.0,8775.0,8820.7,417798
2024-05-22T00:00:00+05:30,8850.0,8850.0,8736.0,8805.55,302838
2024-05-23T00:00:00+05:30,8850.0,8985.0,8751.2,8963.45,731514
2024-05-24T00:00:00+05:30,8980.0,9024.0,8870.1,8948.2,455920
2024-05-27T00:00:00+05:30,9002.0,9069.45,8881.7,8998.7,301747
2024-05-28T00:00:00+05:30,8998.7,9022.25,8916.2,8989.75,259094
2024-05-29T00:00:00+05:30,8950.0,9139.45,8902.75,9070.2,339934
2024-05-30T00:00:00+05:30,9068.0,9128.9,8927.6,8968.5,305109
2024-05-31T00:00:00+05:30,8990.0,9125.5,8923.0,9084.75,560005
2024-06-03T00:00:00+05:30,9180.0,9444.0,9122.55,9335.45,438422
2024-06-04T00:00:00+05:30,9227.0,9372.85,8808.0,9246.75,738601
2024-06-05T00:00:00+05:30,9241.0,9679.0,9176.0,9602.25,489543
2024-06-06T00:00:00+05:30,9595.3,9740.0,9454.0,9701.45,570095
2024-06-07T00:00:00+05:30,9643.6,9740.1,9615.0,9725.55,246783
2024-06-10T00:00:00+05:30,9779.0,9924.0,9681.5,9733.05,201452
2024-06-11T00:00:00+05:30,9740.0,9900.0,9700.1,9812.7,457442
2024-06-12T00:00:00+05:30,9854.0,9944.0,9795.7,9904.25,277175
2024-06-13T00:00:00+05:30,9904.0,9940.0,9825.25,9923.4,277783
2024-06-14T00:00:00+05:30,9826.0,9995.0,9813.05,9961.75,320933
2024-06-18T00:00:00+05:30,9922.0,10038.8,9908.0,9918.2,206100
2024-06-19T00:00:00+05:30,9939.5,9948.0,9670.0,9685.8,279789
2024-06-20T00:00:00+05:30,9692.0,9735.9,9565.0,9632.0,324597
2024-06-21T00:00:00+05:30,9675.0,9728.95,9571.1,9602.25,334018
2024-06-24T00:00:00+05:30,9580.0,9758.95,9510.55,9745.25,283754
2024-06-25T00:00:00+05:30,9755.0,9825.0,9645.0,9659.95,282048
2024-06-26T00:00:00+05:30,9659.9,9660.3,9441.5,9474.65,431217
2024-06-27T00:00:00+05:30,9564.65,9564.65,9365.65,9417.45,637626
2024-06-28T00:00:00+05:30,9465.0,9523.7,9382.25,9501.65,237516
2024-07-01T00:00:00+05:30,9505.0,9693.95,9505.0,9532.4,289355
2024-07-02T00:00:00+05:30,9520.0,9532.4,9381.1,9401.25,287884
2024-07-03T00:00:00+05:30,9474.0,9554.95,9384.6,9422.4,318120
2024-07-04T00:00:00+05:30,9479.9,9499.0,9420.35,9460.85,234656
2024-07-05T00:00:00+05:30,9522.0,9660.0,9493.3,9635.8,608628
2024-07-08T00:00:00+05:30,9640.0,9666.15,9470.0,9529.4,316215
2024-07-09T00:00:00+05:30,9565.0,9565.0,9481.2,9534.1,262913
2024-07-10T00:00:00+05:30,9550.0,9650.0,9451.95,9542.45,239607
2024-07-11T00:00:00+05:30,9542.45,9569.5,9383.0,9466.8,294900
2024-07-12T00:00:00+05:30,9499.95,9554.35,9412.0,9430.75,171581
2024-07-15T00:00:00+05:30,9430.75,9738.5,9403.95,9673.35,504086
2024-07-16T00:00:00+05:30,9715.0,9909.95,9633.65,9718.35,1041123
2024-07-18T00:00:00+05:30,9745.0,9745.0,9291.5,9626.2,1055384
2024-07-19T00:00:00+05:30,9635.0,9675.0,9340.0,9386.05,380782
2024-07-22T00:00:00+05:30,9350.0,9435.0,9263.2,9409.7,247040
2024-07-23T00:00:00+05:30,9435.0,9508.0,8744.6,9382.5,431989
2024-07-24T00:00:00+05:30,9360.0,9372.7,9250.0,9260.2,283213
2024-07-25T00:00:00+05:30,9260.0,9309.95,9171.0,9278.25,262328
2024-07-26T00:00:00+05:30,9319.0,9505.0,9268.45,9492.9,250956
2024-07-29T00:00:00+05:30,9549.2,9621.05,9509.0,9557.65,302363
2024-07-30T00:00:00+05:30,9550.65,9654.0,9512.0,9564.35,301885
2024-07-31T00:00:00+05:30,9600.0,9680.0,9580.05,9664.2,315292
2024-08-01T00:00:00+05:30,9844.0,9844.0,9662.0,9730.5,308658
2024-08-02T00:00:00+05:30,9714.8,9730.0,9581.75,9616.2,230615
2024-08-05T00:00:00+05:30,9396.2,9520.0,9369.3,9485.05,310757
2024-08-06T00:00:00+05:30,9515.25,9620.0,9400.0,9427.4,246541
2024-08-07T00:00:00+05:30,9570.0,9725.0,9497.5,9708.2,270583
2024-08-08T00:00:00+05:30,9735.0,9777.7,9610.15,9641.3,365016
2024-08-09T00:00:00+05:30,9761.0,9775.0,9614.0,9765.95,161640
2024-08-12T00:00:00+05:30,9741.0,9750.95,9615.0,9710.85,307698
2024-08-13T00:00:00+05:30,9700.0,9789.85,9650.0,9671.6,161706
2024-08-14T00:00:00+05:30,9704.0,9785.0,9671.6,9749.6,282934
2024-08-16T00:00:00+05:30,9788.0,9925.0,9693.95,9888.15,240190
2024-08-19T00:00:00+05:30,9926.95,9944.0,9759.3,9770.65,148301
2024-08-20T00:00:00+05:30,9772.2,9876.65,9755.05,9779.7,132844
2024-08-21T00:00:00+05:30,9779.1,9869.0,9735.0,9852.0,134985
2024-08-22T00:00:00+05:30,9900.0,10011.0,9841.1,9914.2,388874
2024-08-23T00:00:00+05:30,9970.0,10444.35,9930.0,10406.45,1229549
2024-08-26T00:00:00+05:30,10375.1,10517.15,10339.65,10432.55,309223
2024-08-27T00:00:00+05:30,10401.0,10568.45,10350.0,10501.6,262396
2024-08-28T00:00:00+05:30,10500.0,10715.0,10461.3,10656.75,338792
2024-08-29T00:00:00+05:30,10582.05,10850.0,10555.4,10807.85,693506
2024-08-30T00:00:00+05:30,10835.0,10921.35,10705.0,10891.55,498560
2024-09-02T00:00:00+05:30,10926.0,11154.1,10912.15,11126.1,787108
2024-09-03T00:00:00+05:30,11105.95,11118.7,11015.0,11043.65,217394
2024-09-04T00:00:00+05:30,11012.0,11029.85,10908.9,10963.7,324246
2024-09-05T00:00:00+05:30,10964.0,11015.85,10825.55,10855.75,297298
2024-09-06T00:00:00+05:30,10855.75,10913.95,10796.25,10830.1,216847
2024-09-09T00:00:00+05:30,10830.1,10902.4,10780.0,10847.6,193055
2024-09-10T00:00:00+05:30,10793.4,11035.7,10780.05,10987.75,466892
2024-09-11T00:00:00+05:30,11067.75,11501.3,10986.6,11420.75,1283385
2024-09-12T00:00:00+05:30,11480.75,11779.25,11443.35,11723.5,1409151
2024-09-13T00:00:00+05:30,11723.5,11893.95,11688.4,11737.15,417878
2024-09-16T00:00:00+05:30,11734.0,11751.8,11640.05,11688.35,172602
2024-09-17T00:00:00+05:30,11680.0,11972.85,11643.1,11950.3,444755
2024-09-18T00:00:00+05:30,11840.5,12054.0,11740.0,11764.65,446416
2024-09-19T00:00:00+05:30,11811.2,12040.25,11811.2,11868.0,500633
2024-09-20T00:00:00+05:30,11925.0,12015.0,11868.25,11941.7,772831
2024-09-23T00:00:00+05:30,12000.0,12380.0,12000.0,12338.95,735579
2024-09-24T00:00:00+05:30,12230.55,12477.5,12230.55,12443.65,503848
2024-09-25T00:00:00+05:30,12390.0,12430.7,12310.0,12397.25,262012
2024-09-26T00:00:00+05:30,12460.0,12676.5,12391.05,12621.65,641805
2024-09-27T00:00:00+05:30,12621.65,12774.0,12551.6,12666.4,480852
2024-09-30T00:00:00+05:30,12566.4,12651.15,12281.65,12355.0,471045
2024-10-01T00:00:00+05:30,12414.25,12500.0,12112.1,12157.45,670828
2024-10-03T00:00:00+05:30,11732.0,12018.85,11700.0,11806.45,670365
2024-10-04T00:00:00+05:30,11661.2,11948.3,11639.0,11774.4,650553
2024-10-07T00:00:00+05:30,11774.4,11817.0,11525.0,11617.05,341323
2024-10-08T00:00:00+05:30,11585.0,11936.85,11562.2,11889.1,359432
2024-10-09T00:00:00+05:30,11944.0,11988.8,11802.0,11818.1,193883
2024-10-10T00:00:00+05:30,11821.5,12030.95,11803.1,11832.0,251378
2024-10-11T00:00:00+05:30,11890.0,11930.65,11705.6,11876.95,200855
2024-10-14T00:00:00+05:30,11928.8,11990.1,11861.6,11899.3,177045
2024-10-15T00:00:00+05:30,11950.0,11950.0,11467.0,11521.5,476945
2024-10-16T00:00:00+05:30,11537.9,11680.0,11381.15,11616.95,504602
2024-10-17T00:00:00+05:30,11222.2,11287.35,10071.0,10119.45,3668914
2024-10-18T00:00:00+05:30,10049.55,10149.1,9841.1,10063.95,1543331
2024-10-21T00:00:00+05:30,10063.0,10829.85,9881.4,10500.5,2110278
2024-10-22T00:00:00+05:30,10500.5,10614.95,10320.0,10368.35,1191148
2024-10-23T00:00:00+05:30,10368.0,10735.1,10342.45,10586.75,1323887
2024-10-24T00:00:00+05:30,10504.0,10593.45,10210.0,10302.5,653421
2024-10-25T00:00:00+05:30,10300.0,10368.2,9925.0,10206.1,644769
2024-10-28T00:00:00+05:30,10206.1,10292.75,9985.0,10011.25,340768
2024-10-29T00:00:00+05:30,10073.95,10073.95,9640.0,9850.85,1100706
2024-10-30T00:00:00+05:30,9820.0,10057.75,9770.0,9940.65,604822
2024-10-31T00:00:00+05:30,9940.0,10030.9,9805.0,9836.3,361801
2024-11-01T00:00:00+05:30,9905.0,9950.0,9838.8,9875.95,53757
2024-11-04T00:00:00+05:30,9896.5,9896.5,9365.0,9525.55,1125992
2024-11-05T00:00:00+05:30,9530.0,10007.3,9500.2,9874.85,1019901
2024-11-06T00:00:00+05:30,9883.4,10054.0,9848.8,10020.5,514045
2024-11-07T00:00:00+05:30,10070.6,10079.8,9789.95,9856.65,473407
2024-11-08T00:00:00+05:30,9856.65,9991.05,9777.25,9910.4,273163
2024-11-11T00:00:00+05:30,9850.05,10032.9,9800.0,9919.35,359768
2024-11-12T00:00:00+05:30,9900.0,9999.0,9662.0,9678.7,316606
2024-11-13T00:00:00+05:30,9678.7,9710.0,9416.1,9452.15,494123
2024-11-14T00:00:00+05:30,9410.0,9516.95,9400.0,9482.95,275791
2024-11-18T00:00:00+05:30,9459.05,9603.0,9435.85,9516.5,292519
2024-11-19T00:00:00+05:30,9560.0,9698.6,9500.45,9545.7,365397
2024-11-21T00:00:00+05:30,9473.5,9554.0,9414.35,9505.0,282212
2024-11-22T00:00:00+05:30,9545.0,9602.9,9444.1,9481.65,619823
2024-11-25T00:00:00+05:30,9560.0,9636.35,9392.0,9420.95,1090141
2024-11-26T00:00:00+05:30,9465.0,9484.0,9120.1,9137.45,750430
2024-11-27T00:00:00+05:30,9175.0,9256.95,9103.0,9190.35,461513
2024-11-28T00:00:00+05:30,9165.1,9272.4,8992.25,9013.5,687966
2024-11-29T00:00:00+05:30,9059.1,9090.9,8993.0,9033.65,423101
2024-12-02T00:00:00+05:30,9078.8,9175.0,9056.95,9130.35,298320
2024-12-03T00:00:00+05:30,9105.0,9225.05,9105.0,9161.8,398985
2024-12-04T00:00:00+05:30,9161.8,9240.0,8951.0,8999.15,456462
2024-12-05T00:00:00+05:30,9044.15,9044.15,8746.5,8891.95,1803653
2024-12-06T00:00:00+05:30,8953.9,9148.95,8930.1,9099.9,746013
2024-12-09T00:00:00+05:30,9096.0,9171.0,9026.4,9077.45,304202
2024-12-10T00:00:00+05:30,9075.1,9094.9,8980.0,9013.3,393944
2024-12-11T00:00:00+05:30,9045.05,9108.4,9013.65,9069.85,254311
2024-12-12T00:00:00+05:30,9095.0,9095.0,8944.0,8963.25,599056
2024-12-13T00:00:00+05:30,8964.15,9051.0,8903.75,9021.4,243931
2024-12-16T00:00:00+05:30,9064.0,9078.75,8970.0,8998.35,228470
2024-12-17T00:00:00+05:30,8989.8,8990.0,8851.4,8895.0,456493
2024-12-18T00:00:00+05:30,8825.0,9006.25,8800.0,8956.75,303382
2024-12-19T00:00:00+05:30,8823.0,9003.0,8762.55,8982.65,516640
2024-12-20T00:00:00+05:30,8950.0,9066.75,8759.4,8787.25,316335
2024-12-23T00:00:00+05:30,8849.95,8874.95,8719.9,8768.45,514460
2024-12-24T00:00:00+05:30,8745.0,8854.0,8731.0,8778.05,297827
2024-12-26T00:00:00+05:30,8810.0,8898.65,8797.6,8878.5,240675
2024-12-27T00:00:00+05:30,8896.25,9179.15,8896.25,8928.3,713799
2024-12-30T00:00:00+05:30,8928.0,8962.45,8737.55,8779.9,1065253
2024-12-31T00:00:00+05:30,8770.0,8839.75,8740.15,8798.6,294554
2025-01-01T00:00:00+05:30,8754.05,8767.0,8551.0,8740.55,558535
2025-01-02T00:00:00+05:30,8740.5,9107.3,8677.55,9079.5,734590
2025-01-03T00:00:00+05:30,9100.0,9109.95,8945.0,8965.7,337802
2025-01-06T00:00:00+05:30,9004.95,9093.9,8795.0,8823.85,238306
2025-01-07T00:00:00+05:30,8870.0,8887.95,8735.1,8810.3,270785
2025-01-08T00:00:00+05:30,8776.0,8830.95,8612.0,8642.25,415288
2025-01-09T00:00:00+05:30,8719.95,8898.0,8692.1,8835.85,612457
2025-01-10T00:00:00+05:30,8832.45,8855.0,8642.1,8764.0,350859
2025-01-13T00:00:00+05:30,8704.5,8749.9,8551.0,8596.25,341577
2025-01-14T00:00:00+05:30,8620.0,8698.0,8525.0,8611.2,355464
2025-01-15T00:00:00+05:30,8623.9,8799.0,8561.3,8578.0,347402
2025-01-16T00:00:00+05:30,8621.0,8639.9,8549.7,8581.95,290855
2025-01-17T00:00:00+05:30,8565.85,8666.6,8531.3,8581.4,183057
2025-01-20T00:00:00+05:30,8600.0,8609.6,8462.7,8544.4,294136
2025-01-21T00:00:00+05:30,8582.45,8608.8,8412.1,8468.55,343149
2025-01-22T00:00:00+05:30,8480.8,8534.95,8395.0,8460.85,344305
2025-01-23T00:00:00+05:30,8439.15,8502.2,8375.65,8399.95,347894
2025-01-24T00:00:00+05:30,8414.4,8489.95,8360.0,8401.5,232317
2025-01-27T00:00:00+05:30,8378.05,8418.95,8290.35,8384.6,324406
2025-01-28T00:00:00+05:30,8426.45,8489.0,8361.35,8398.4,651069
2025-01-29T00:00:00+05:30,8420.15,8807.0,8420.15,8625.85,802600
2025-01-30T00:00:00+05:30,8659.95,8824.3,8602.5,8747.8,322587
2025-01-31T00:00:00+05:30,8800.0,8959.9,8744.05,8847.8,315913
2025-02-01T00:00:00+05:30,8887.9,9178.0,8806.3,9155.6,418755
2025-02-03T00:00:00+05:30,9150.0,9150.0,8886.55,8926.55,667412
2025-02-04T00:00:00+05:30,8950.0,9059.65,8877.6,8911.4,440468
2025-02-05T00:00:00+05:30,8930.0,8968.0,8895.0,8927.8,329075
2025-02-06T00:00:00+05:30,8922.0,8961.65,8811.0,8846.35,580590
2025-02-07T00:00:00+05:30,8890.55,9026.0,8851.05,8989.4,244178
2025-02-10T00:00:00+05:30,8989.4,9069.8,8845.85,8880.55,192650
2025-02-11T00:00:00+05:30,8830.0,8877.45,8732.55,8762.0,282926
2025-02-12T00:00:00+05:30,8732.0,8819.4,8647.0,8711.6,411042
2025-02-13T00:00:00+05:30,8715.05,8777.05,8651.45,8691.35,206920
2025-02-14T00:00:00+05:30,8700.0,8722.7,8419.9,8506.5,369356
2025-02-17T00:00:00+05:30,8494.0,8552.05,8382.65,8537.15,224417
2025-02-18T00:00:00+05:30,8510.1,8550.0,8390.45,8446.6,206278
2025-02-19T00:00:00+05:30,8440.05,8527.7,8405.05,8479.5,200819
2025-02-20T00:00:00+05:30,8459.95,8640.0,8459.9,8630.2,188845
2025-02-21T00:00:00+05:30,8550.0,8614.0,8450.0,8506.05,222132
2025-02-24T00:00:00+05:30,8450.5,8488.45,8341.6,8446.95,275998
2025-02-25T00:00:00+05:30,8450.0,8468.1,8365.05,8417.9,237383
2025-02-27T00:00:00+05:30,8360.1,8413.95,8183.4,8232.35,350992
2025-02-28T00:00:00+05:30,8234.75,8234.75,7886.3,7902.9,580155
2025-03-03T00:00:00+05:30,7934.95,7998.3,7679.6,7714.8,497052
2025-03-04T00:00:00+05:30,7652.1,7680.0,7317.05,7333.3,1078953
2025-03-05T00:00:00+05:30,7332.2,7443.3,7301.0,7420.3,749464
2025-03-06T00:00:00+05:30,7481.0,7500.0,7376.95,7462.25,917093
2025-03-07T00:00:00+05:30,7462.25,7624.0,7451.1,7574.75,942308
2025-03-10T00:00:00+05:30,7573.0,7573.0,7352.0,7383.4,495241
2025-03-11T00:00:00+05:30,7355.5,7515.95,7328.0,7499.95,412703
2025-03-12T00:00:00+05:30,7499.95,7569.0,7429.85,7515.05,529286
2025-03-13T00:00:00+05:30,7545.25,7545.25,7415.0,7504.7,454776
2025-03-17T00:00:00+05:30,7500.0,7611.0,7433.0,7486.05,286388
2025-03-18T00:00:00+05:30,7523.4,7642.1,7512.85,7613.4,354990
2025-03-19T00:00:00+05:30,7674.0,7767.65,7619.25,7721.85,409356
2025-03-20T00:00:00+05:30,7734.95,7951.95,7722.0,7920.0,606109
2025-03-21T00:00:00+05:30,7969.0,8151.0,7938.0,8067.85,703280
2025-03-24T00:00:00+05:30,8117.8,8213.95,8070.0,8125.55,453508
2025-03-25T00:00:00+05:30,8160.0,8167.95,7952.0,8006.0,824076
2025-03-26T00:00:00+05:30,8014.35,8047.45,7910.0,7977.1,391366
2025-03-27T00:00:00+05:30,7901.0,8039.1,7852.25,7974.3,651971
2025-03-28T00:00:00+05:30,7970.4,8024.9,7810.75,7878.85,392400
2025-04-01T00:00:00+05:30,7631.0,8048.0,7631.0,7993.05,283618
2025-04-02T00:00:00+05:30,7962.0,8083.8,7945.0,8072.95,237191
2025-04-03T00:00:00+05:30,7940.05,7940.05,7840.0,7912.2,470005
2025-04-04T00:00:00+05:30,7880.0,7889.85,7652.25,7685.1,461228
2025-04-07T00:00:00+05:30,7300.0,7357.55,7089.35,7306.8,469629
2025-04-08T00:00:00+05:30,7384.5,7529.85,7345.75,7498.05,259199
2025-04-09T00:00:00+05:30,7525.45,7631.3,7460.5,7572.3,261256
2025-04-11T00:00:00+05:30,7719.5,7779.95,7636.35,7768.85,290737
2025-04-15T00:00:00+05:30,8000.0,8040.0,7828.5,7995.5,387999
2025-04-16T00:00:00+05:30,7999.0,7999.5,7864.5,7961.5,294161
2025-04-17T00:00:00+05:30,7994.0,8055.0,7864.5,8018.0,274331
2025-04-21T00:00:00+05:30,8010.0,8275.0,7950.0,8247.5,285132
2025-04-22T00:00:00+05:30,8186.0,8186.5,8075.0,8141.0,394636
2025-04-23T00:00:00+05:30,8111.0,8294.5,8051.0,8261.5,598686
2025-04-24T00:00:00+05:30,8260.0,8328.0,8169.0,8201.5,322100
2025-04-25T00:00:00+05:30,8225.0,8259.5,7965.0,8034.0,508224
2025-04-28T00:00:00+05:30,8034.0,8134.5,7971.0,8096.0,282481
2025-04-29T00:00:00+05:30,8136.5,8169.5,8020.0,8078.5,228383
2025-04-30T00:00:00+05:30,8060.0,8077.5,7977.5,8030.0,447067
2025-05-02T00:00:00+05:30,8000.0,8086.0,7803.0,7836.5,455898
2025-05-05T00:00:00+05:30,7869.5,7964.5,7850.0,7920.5,250175
2025-05-06T00:00:00+05:30,7930.0,8044.0,7910.0,7945.5,270568
2025-05-07T00:00:00+05:30,7915.5,7978.0,7811.5,7849.0,459640
2025-05-08T00:00:00+05:30,7850.5,7869.5,7670.0,7724.5,461725
2025-05-09T00:00:00+05:30,7620.0,7743.5,7612.0,7682.5,248982
2025-05-12T00:00:00+05:30,7800.0,8048.5,7778.0,8039.5,296774
2025-05-13T00:00:00+05:30,8039.5,8109.0,7950.0,8063.0,407395
2025-05-14T00:00:00+05:30,8090.0,8208.0,8032.0,8102.5,225717
2025-05-15T00:00:00+05:30,8135.0,8366.0,8077.0,8326.0,497959
2025-05-16T00:00:00+05:30,8350.0,8495.0,8280.0,8482.5,483122
2025-05-19T00:00:00+05:30,8500.0,8861.5,8492.0,8851.0,858221
2025-05-20T00:00:00+05:30,8850.0,8850.0,8526.5,8565.0,449936
2025-05-21T00:00:00+05:30,8608.0,8765.0,8535.5,8687.5,572628
2025-05-22T00:00:00+05:30,8660.0,8775.5,8512.5,8733.5,916615
2025-05-23T00:00:00+05:30,8765.0,8838.0,8714.0,8741.0,321989
2025-05-26T00:00:00+05:30,8784.5,8978.5,8770.0,8958.5,440577
2025-05-27T00:00:00+05:30,8945.0,9004.5,8900.5,8963.0,401273
2025-05-28T00:00:00+05:30,8990.0,9007.0,8775.0,8849.0,312080
2025-05-29T00:00:00+05:30,8907.0,8940.0,8802.0,8874.5,330341
2025-05-30T00:00:00+05:30,8787.0,8865.0,8585.0,8607.0,1434828
2025-06-02T00:00:00+05:30,8621.5,8621.5,8415.0,8513.5,457251
2025-06-03T00:00:00+05:30,8513.0,8600.0,8490.0,8563.0,566074
2025-06-04T00:00:00+05:30,8550.5,8640.5,8527.0,8563.5,431009
2025-06-05T00:00:00+05:30,8614.0,8614.0,8509.5,8557.5,381642
2025-06-06T00:00:00+05:30,8608.0,8685.0,8541.0,8637.0,435024
2025-06-09T00:00:00+05:30,8680.0,8705.0,8599.5,8641.0,443544
2025-06-10T00:00:00+05:30,8645.0,8664.0,8574.0,8626.0,350288
2025-06-11T00:00:00+05:30,8635.5,8770.0,8610.0,8719.0,462124
2025-06-12T00:00:00+05:30,8732.5,8756.0,8540.0,8567.0,368162
2025-06-13T00:00:00+05:30,8460.0,8485.5,8350.0,8463.5,250910
2025-06-16T00:00:00+05:30,8486.5,8595.0,8451.0,8529.5,203598
2025-06-17T00:00:00+05:30,8490.0,8554.0,8455.0,8494.5,286217
2025-06-18T00:00:00+05:30,8505.0,8657.5,8440.5,8468.0,561114
2025-06-19T00:00:00+05:30,8480.0,8555.0,8451.5,8496.0,332303
2025-06-20T00:00:00+05:30,8315.0,8403.0,8250.0,8371.0,567646
2025-06-23T00:00:00+05:30,8275.0,8328.5,8255.0,8286.5,271619
2025-06-24T00:00:00+05:30,8363.0,8424.5,8331.5,8377.0,214129
2025-06-25T00:00:00+05:30,8407.0,8437.0,8371.0,8389.5,276176
2025-06-26T00:00:00+05:30,8370.0,8465.0,8361.0,8433.0,371685
2025-06-27T00:00:00+05:30,8468.0,8507.0,8414.0,8436.0,504248
2025-06-30T00:00:00+05:30,8470.0,8496.0,8360.0,8376.0,303799
